"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Larnach, Trevor","663616","299","13.7",37.5,"109.9","87.8","99.1","90.9","86.9","425","173","391","111",37.1,"22",7.4,5.2
"Lewis, Royce","668904","299","20.7",33.8,"112.4","89.9","100.7","93.7","87.6","444","180","402","122",40.8,"34",11.4,7.6
"Goodman, Hunter","696100","299","18.5",33.1,"116.2","90.3","102.6","96","83.6","451","188","410","136",45.5,"46",15.4,9
"Bauers, Jake","641343","297","11.7",37,"114.8","92.4","103.3","96.4","88.4","457","179","402","157",52.9,"40",13.5,7.7
"France, Ty","664034","296","14.3",38.2,"109.6","91.9","101.2","94.2","90.9","427","175","390","143",48.3,"29",9.8,6.6
"Benintendi, Andrew","643217","294","17.2",36.4,"109.9","89.2","99.1","92.8","84.4","410","178","388","133",45.4,"26",8.8,6
"McKinstry, Zach","656716","291","14.4",37.8,"106","85.7","95","88.5","83.8","399","168","390","63",21.6,"6",2.1,1.5
"Horwitz, Spencer","687462","291","16",28.5,"108","87","97.3","91.2","85.3","434","161","395","93",32,"18",6.2,4.4
"Grissom, Vaughn","687093","291","12.5",33,"110","87.9","99.1","92.8","84.1","408","164","391","110",37.8,"21",7.2,5.2
"Taveras, Leody","665750","291","16",27.8,"112.4","88.3","99.2","91.6","86.1","448","157","403","97",33.3,"12",4.1,2.7
"Keith, Colt","690993","288","12.7",38.5,"111.2","88.8","100.1","92.9","85","427","171","385","120",41.7,"21",7.3,5.2
"Peña, Jeremy","665161","288","12.1",33.3,"110","88.4","99.6","91.8","86.3","454","158","387","112",38.9,"19",6.6,4.6
"Butler, Lawrence","671732","288","6.9",31.9,"112.7","89.8","101.9","94.2","87.4","463","146","408","134",46.7,"22",7.6,4.7
"Caballero, José","676609","286","13.6",31.1,"108.5","83.8","95.8","89.7","80.8","420","141","385","73",25.6,"12",4.2,2.9
"Jung, Josh","673962","286","11.8",39.9,"110.1","90.6","100.2","93.3","88.2","424","171","386","138",48.3,"18",6.3,4.5
"Realmuto, J.T.","592663","283","11.8",35.3,"111.2","89.8","99.8","93.9","85.9","422","166","397","116",41,"15",5.3,3.7
"Wilson, Jacob","805779","283","7.9",31.4,"105.6","84.1","95.6","87.6","81.8","411","140","386","78",27.6,"7",2.5,2.1
"Yelich, Christian","592885","283","3.4",29.7,"111.1","89.2","100.6","92.9","87.4","421","135","400","123",43.5,"28",9.9,6.3
"Langeliers, Shea","669127","281","19.7",37.4,"114.4","91.8","102.6","95.6","89.3","467","188","417","128",45.6,"42",14.9,10.1
"Soto, Juan","665742","280","16",31.8,"114.2","92.5","102.5","96.7","87.7","449","181","401","135",48.2,"40",14.3,10
"Kelly, Carson","608348","279","13.2",31.2,"108.4","87.3","98.3","91.2","85.3","428","160","403","103",36.9,"16",5.7,4.2
"Loftin, Nick","679845","278","15.2",36,"110.8","87","96.7","90","85.1","416","173","397","79",28.4,"12",4.3,3.1
"McLain, Matt","680574","277","21.1",36.1,"110.5","88.3","98.9","91.4","85.6","421","188","391","102",36.8,"26",9.4,5.7
"Frelick, Sal","686217","277","10.1",28.2,"107.2","85.9","96.7","88.1","85.8","407","139","396","79",28.6,"7",2.5,2
"Ewing, A.J.","805999","276","11.3",35.1,"110.5","89.2","100.1","92.1","87.3","420","162","401","117",42.4,"19",6.9,4.5
"O'Hearn, Ryan","656811","276","13.9",34.8,"108.1","89.3","99.3","93.2","85.7","421","170","385","120",43.5,"20",7.2,5
"Sheets, Gavin","657757","274","12.8",31.4,"110.1","87.4","99","92.5","84.9","434","151","395","106",38.7,"19",6.9,4.6
"Langford, Wyatt","694671","272","19.8",32.4,"111.3","89","99.6","92.3","86.1","438","173","399","101",37.1,"18",6.6,4.5
"Baty, Brett","683146","272","12.7",36.4,"114","90.3","101.4","96","84.4","451","179","396","115",42.3,"28",10.3,6.5
"Buxton, Byron","621439","272","20.3",32.4,"111.9","90.2","101.6","95.3","85.6","438","188","402","127",46.7,"43",15.8,10.5
"Hernández, Teoscar","606192","271","13.8",33.2,"112.6","90.3","101.5","93.8","87.7","443","167","397","122",45,"29",10.7,6.8
"Karros, Kyle","691720","269","13.3",41.6,"111.8","89.3","100.2","91.5","88","457","171","416","110",40.9,"21",7.8,5.2
"Rengifo, Luis","650859","268","6",28.4,"109.2","87.7","97.7","90.2","86.3","409","132","374","92",34.3,"11",4.1,3.1
"Lindor, Francisco","596019","268","19.1",28.7,"111.3","91","100.2","94.2","88.7","420","181","395","128",47.8,"25",9.3,6.5
"Ruiz, Keibert","660688","267","17.3",34.1,"108.7","88.3","98.2","91.9","86.7","406","173","377","99",37.1,"12",4.5,3.7
"Martínez, Angel","682657","267","14.5",36.3,"110.1","87.4","99.1","91","84.8","422","161","393","95",35.7,"19",7.1,5.1
"Hernández, Heriberto","681715","266","13.6",32.3,"111.3","91.3","101.9","97.1","86.7","439","179","406","127",47.7,"37",13.9,8.6
"Pederson, Joc","592626","266","16.2",30.1,"110.6","92.2","102","95.6","89.5","426","178","396","135",50.8,"30",11.3,7.2
"Walls, Taylor","670764","266","19.6",30.8,"107.7","85.6","95.2","90","81.8","404","162","383","58",21.9,"5",1.9,1.2
"Moniak, Mickey","666160","266","21.7",30.8,"109.1","89.5","99.7","93.1","86.4","447","193","416","108",40.6,"26",9.8,6.6
"Ortiz, Joey","687401","265","5.9",27.2,"112.2","88.9","99.6","92.8","86.6","415","140","390","99",37.4,"11",4.2,3
"Crawford, J.P.","641487","264","12.2",34.1,"107.8","87.9","98.2","92.2","87","417","148","388","94",35.6,"15",5.7,3.6
"Mitchell, Garrett","669003","263","2",31.6,"115.5","93.3","104.8","97.5","90.7","440","140","415","140",53.2,"31",11.8,6.6
"Carter, Evan","694497","262","17.8",28.2,"108.2","88","98.9","91.7","85.6","422","163","380","94",35.9,"14",5.3,3.4
"Rutschman, Adley","668939","262","14",39.7,"112.1","88.7","99.3","92.3","85","419","180","395","104",39.7,"19",7.3,5.3
"Heim, Jonah","641680","260","14.4",33.1,"109.1","87.9","97.6","90.9","85.9","445","167","409","84",32.3,"17",6.5,4.8
"Acuña Jr., Ronald","660670","259","15.7",33.2,"115.2","90.5","102.4","95.5","86.3","450","173","406","119",45.9,"32",12.4,7.9
"Fermín, José","665877","258","16.1",32.9,"109.3","86","96.5","90.5","83.7","407","159","390","82",31.8,"6",2.3,1.8
"Stephenson, Tyler","663886","257","18.2",41.2,"108.5","91","100.3","94.9","84.8","435","203","392","115",44.7,"31",12.1,7.4
"Lowe, Nathaniel","663993","257","14.5",39.7,"112.7","89.3","100.9","90.9","88.8","438","174","394","105",40.9,"21",8.2,5.4
"Steer, Spencer","668715","256","16.9",35.5,"107.2","89.7","99.5","94.1","86.4","421","178","394","100",39.1,"30",11.7,7.8
